epoch,step,train/loss,train/lr,val/R@1,val/R@10,val/R@5,val/mAP@10
0,49,3.4664902687072754,1.727879748614214e-06,,,,
0,99,3.463822603225708,3.388981667740154e-06,,,,
0,149,3.0688819885253906,5.0500834731792565e-06,,,,
0,199,2.4680488109588623,6.7111855059920345e-06,,,,
0,249,2.191023826599121,8.372287084057461e-06,,,,
0,299,1.7586429119110107,1.003338911687024e-05,,,,
0,349,1.6805386543273926,1.1694491149683017e-05,,,,
0,399,1.9338241815567017,1.3355592273001093e-05,,,,
0,449,1.2523713111877441,1.5016694305813871e-05,,,,
0,499,1.6087629795074463,1.6677795429131947e-05,,,,
0,549,1.3738131523132324,1.8338898371439427e-05,,,,
0,598,,,0.06832535564899445,0.3762679398059845,0.24440191686153412,0.14571914076805115
1,599,1.145920991897583,1.9999999494757503e-05,,,,
1,649,0.9668091535568237,1.999847881961614e-05,,,,
1,699,1.1198272705078125,1.999391861318145e-05,,,,
1,749,0.9540016651153564,1.9986318875453435e-05,,,,
1,799,1.176121711730957,1.99756814254215e-05,,,,
1,849,1.453829050064087,1.9962009901064448e-05,,,,
1,899,0.6697995662689209,1.9945311578339897e-05,,,,
1,949,1.264657974243164,1.9925586457247846e-05,,,,
1,999,0.8717578649520874,1.9902843632735312e-05,,,,
1,1049,1.174572467803955,1.987709038075991e-05,,,,
1,1099,1.0072298049926758,1.9848333977279253e-05,,,,
1,1149,0.8473802804946899,1.9816581698250957e-05,,,,
1,1197,,,0.10966507345438004,0.49454545974731445,0.333779901266098,0.20930887758731842
2,1199,0.48398149013519287,1.978184445761144e-05,,,,
2,1249,0.6179192662239075,1.974413316929713e-05,,,,
2,1299,1.0795674324035645,1.9703460566233844e-05,,,,
2,1349,0.5244936943054199,1.9659835743368603e-05,,,,
2,1399,0.658990740776062,1.961327507160604e-05,,,,
2,1449,0.8396931290626526,1.9563789464882575e-05,,,,
2,1499,0.7747995853424072,1.9511398932081647e-05,,,,
2,1549,0.853047251701355,1.9456114387139678e-05,,,,
2,1599,0.9049213528633118,1.939795765792951e-05,,,,
2,1649,0.9184651374816895,1.9336941477376968e-05,,,,
2,1699,0.49277472496032715,1.9273087673354894e-05,,,,
2,1749,0.804553210735321,1.9206416254746728e-05,,,,
2,1796,,,0.12803827226161957,0.4979904294013977,0.3577033579349518,0.2269628643989563
3,1799,0.3945504426956177,1.9136945411446504e-05,,,,
3,1849,0.5842576026916504,1.9064696971327066e-05,,,,
3,1899,0.47261345386505127,1.898969458125066e-05,,,,
3,1949,0.629172682762146,1.8911958250100724e-05,,,,
3,1999,0.4353434145450592,1.8831515262718312e-05,,,,
3,2049,0.419229120016098,1.8748387446976267e-05,,,,
3,2099,0.532978355884552,1.8662600268726237e-05,,,,
3,2149,0.4166306257247925,1.857418283179868e-05,,,,
3,2199,0.7714470028877258,1.8483158783055842e-05,,,,
3,2249,0.5403781533241272,1.838955722632818e-05,,,,
3,2299,0.6676013469696045,1.829340726544615e-05,,,,
3,2349,0.4600633978843689,1.8194738004240207e-05,,,,
3,2395,,,0.1307177096605301,0.5351195931434631,0.3802870810031891,0.2392023205757141
4,2399,0.4073207378387451,1.8093580365530215e-05,,,,
4,2449,0.28293076157569885,1.798996345314663e-05,,,,
4,2499,0.38088259100914,1.7883920008898713e-05,,,,
4,2549,0.27917343378067017,1.7775480955606326e-05,,,,
4,2599,0.4675198197364807,1.766468267305754e-05,,,,
4,2649,0.34723997116088867,1.7551556084072217e-05,,,,
4,2699,0.7426182627677917,1.7436137568438426e-05,,,,
4,2749,0.4168298840522766,1.7318461686954834e-05,,,,
4,2799,0.26730185747146606,1.719856300042011e-05,,,,
4,2849,0.590749204158783,1.7076481526601128e-05,,,,
4,2899,0.34407901763916016,1.695225182629656e-05,,,,
4,2949,0.5398637056350708,1.682591209828388e-05,,,,
4,2994,,,0.145454540848732,0.5289952158927917,0.3802870810031891,0.2476987987756729
5,2999,0.16765433549880981,1.669750054134056e-05,,,,
5,3049,0.36079907417297363,1.6567058992222883e-05,,,,
5,3099,0.3162044882774353,1.6434625649708323e-05,,,,
5,3149,0.6201258897781372,1.630024053156376e-05,,,,
5,3199,0.14288216829299927,1.616394547454547e-05,,,,
5,3249,0.14108577370643616,1.602578049642034e-05,,,,
5,3299,0.2410264015197754,1.588579107192345e-05,,,,
5,3349,0.43061503767967224,1.5744017218821682e-05,,,,
5,3399,0.19079914689064026,1.560050259286072e-05,,,,
5,3449,0.19641748070716858,1.5455290849786252e-05,,,,
5,3499,0.5582106113433838,1.5308429283322766e-05,,,,
5,3549,0.27757954597473145,1.5159959730226547e-05,,,,
5,3593,,,0.13301435112953186,0.5041148066520691,0.3724401891231537,0.234610915184021
6,3599,0.23619168996810913,1.500992766523268e-05,,,,
6,3649,0.15907086431980133,1.4858380382065661e-05,,,,
6,3699,0.2326492816209793,1.4705363355460577e-05,,,,
6,3749,0.17577683925628662,1.455092387914192e-05,,,,
6,3799,0.25631600618362427,1.439510833733948e-05,,,,
6,3849,0.25226348638534546,1.4237964933272451e-05,,,,
6,3899,0.2841027081012726,1.4079541870160028e-05,,,,
6,3949,0.40088951587677,1.3919887351221405e-05,,,,
6,3999,0.19061151146888733,1.3759049579675775e-05,,,,
6,4049,0.03739023208618164,1.3597078577731736e-05,,,,
6,4099,0.2567884922027588,1.3434023458103184e-05,,,,
6,4149,0.5566749572753906,1.3269933333504014e-05,,,,
6,4192,,,0.13779903948307037,0.5173205733299255,0.38354066014289856,0.2444101870059967
7,4199,0.32914456725120544,1.3104860045132227e-05,,,,
7,4249,0.0260600708425045,1.293885270570172e-05,,,,
7,4299,0.08210337907075882,1.2771962246915791e-05,,,,
7,4349,0.3265429139137268,1.2604240509972442e-05,,,,
7,4399,0.29940542578697205,1.243573751708027e-05,,,,
7,4449,0.1396821290254593,1.2266506018931977e-05,,,,
7,4499,0.08706885576248169,1.2096596947230864e-05,,,,
7,4549,0.12275770306587219,1.1926062143174931e-05,,,,
7,4599,0.49215489625930786,1.175495344796218e-05,,,,
7,4649,0.05171773210167885,1.1583324521780014e-05,,,,
7,4699,0.32892099022865295,1.1411226296331733e-05,,,,
7,4749,0.08407509326934814,1.1238712431804743e-05,,,,
7,4791,,,0.14296650886535645,0.5190430879592896,0.38832536339759827,0.2460363805294037
