epoch,step,train/loss,train/lr
0,49,3.4673311710357666,1.727879748614214e-06
0,99,3.2234954833984375,3.388981667740154e-06
0,149,2.684286594390869,5.0500834731792565e-06
0,199,2.133110284805298,6.7111855059920345e-06
0,249,1.7949227094650269,8.372287084057461e-06
0,299,1.8639824390411377,1.003338911687024e-05
0,349,1.691272258758545,1.1694491149683017e-05
0,399,1.7529990673065186,1.3355592273001093e-05
0,449,1.2587416172027588,1.5016694305813871e-05
0,499,1.5576655864715576,1.6677795429131947e-05
0,549,1.1292319297790527,1.8338898371439427e-05
