epoch,step,train/loss,train/lr,val/R@1,val/R@10,val/R@5,val/mAP@10
0,49,3.5183372497558594,1.727879748614214e-06,,,,
0,99,3.471405506134033,3.388981667740154e-06,,,,
0,149,3.5286903381347656,5.0500834731792565e-06,,,,
0,199,3.063384771347046,6.7111855059920345e-06,,,,
0,249,2.6002719402313232,8.372287084057461e-06,,,,
0,299,2.0155296325683594,1.003338911687024e-05,,,,
0,349,1.9631931781768799,1.1694491149683017e-05,,,,
0,399,1.6666350364685059,1.3355592273001093e-05,,,,
0,449,1.855359673500061,1.5016694305813871e-05,,,,
0,499,2.097644805908203,1.6677795429131947e-05,,,,
0,549,1.146012783050537,1.8338898371439427e-05,,,,
0,598,,,0.06181818246841431,0.3525358736515045,0.22143541276454926,0.13293984532356262
