epoch,step,train/loss,train/loss_bi,train/loss_trans,train/lr,val/R@1,val/R@10,val/R@5,val/mAP@10
0,49,5.220116138458252,3.4869301319122314,3.466371774673462,1.727879748614214e-06,,,,
0,99,4.877932071685791,3.145214080810547,3.4654362201690674,3.388981667740154e-06,,,,
0,149,4.070084095001221,2.388823986053467,3.362520217895508,5.0500834731792565e-06,,,,
0,199,3.275959014892578,1.8130059242248535,2.925906181335449,6.7111855059920345e-06,,,,
0,249,2.9534363746643066,1.7519500255584717,2.40297269821167,8.372287084057461e-06,,,,
0,299,2.383662223815918,1.380824089050293,2.00567626953125,1.003338911687024e-05,,,,
0,349,2.5688774585723877,1.6007626056671143,1.9362295866012573,1.1694491149683017e-05,,,,
0,399,2.8515963554382324,1.7587981224060059,2.185596466064453,1.3355592273001093e-05,,,,
0,449,1.8698679208755493,1.0978097915649414,1.5441162586212158,1.5016694305813871e-05,,,,
0,499,2.1612133979797363,1.3426930904388428,1.6370407342910767,1.6677795429131947e-05,,,,
0,549,2.2959296703338623,1.478269100189209,1.635321021080017,1.8338898371439427e-05,,,,
0,598,,,,,0.046124402433633804,0.2713875472545624,0.1621052622795105,0.10016761720180511
1,599,1.7001776695251465,1.0633723735809326,1.2736104726791382,1.9999999494757503e-05,,,,
1,649,1.5093713998794556,0.9078410863876343,1.2030606269836426,1.999847881961614e-05,,,,
1,699,1.576601505279541,0.9811464548110962,1.1909102201461792,1.999391861318145e-05,,,,
1,749,1.382386326789856,0.8459687232971191,1.0728352069854736,1.9986318875453435e-05,,,,
1,799,1.5353479385375977,0.9352145195007324,1.200266718864441,1.99756814254215e-05,,,,
1,849,1.9971227645874023,1.3044042587280273,1.38543701171875,1.9962009901064448e-05,,,,
1,899,1.101862907409668,0.6875718832015991,0.8285820484161377,1.9945311578339897e-05,,,,
1,949,1.5875952243804932,0.9589916467666626,1.2572071552276611,1.9925586457247846e-05,,,,
1,999,1.357460618019104,0.8425157070159912,1.0298898220062256,1.9902843632735312e-05,,,,
1,1049,1.8150155544281006,1.1590747833251953,1.311881422996521,1.987709038075991e-05,,,,
1,1099,1.6178951263427734,1.0520638227462769,1.1316624879837036,1.9848333977279253e-05,,,,
1,1149,1.3534024953842163,0.8400440216064453,1.026716947555542,1.9816581698250957e-05,,,,
1,1197,,,,,0.0834449753165245,0.4235406816005707,0.2769378125667572,0.1676563322544098
2,1199,0.6869872212409973,0.4060628414154053,0.5618487596511841,1.978184445761144e-05,,,,
2,1249,0.818434476852417,0.5039447546005249,0.6289794445037842,1.974413316929713e-05,,,,
2,1299,1.347572684288025,0.815561056137085,1.0640232563018799,1.9703460566233844e-05,,,,
2,1349,0.6259069442749023,0.3675572872161865,0.5166993737220764,1.9659835743368603e-05,,,,
2,1399,0.888247013092041,0.5485923290252686,0.6793093085289001,1.961327507160604e-05,,,,
2,1449,0.8459434509277344,0.541068434715271,0.6097500324249268,1.9563789464882575e-05,,,,
2,1499,1.4790735244750977,0.947332501411438,1.0634819269180298,1.9511398932081647e-05,,,,
2,1549,1.0646183490753174,0.6609939932823181,0.8072488307952881,1.9456114387139678e-05,,,,
